svi_q,accuracy,f1_weighted,recall_severe,dp_ratio,eo_diff
Q1 (Low),0.558641975308642,0.5584486724234786,0.6549295774647887,0.5251347591723179,0.23039152345264247
Q2,0.5579598145285936,0.514847399332186,0.8322147651006712,0.5251347591723179,0.23039152345264247
Q3,0.5340557275541795,0.449940494205846,0.8578431372549019,0.5251347591723179,0.23039152345264247
Q4 (High),0.6269349845201239,0.5496509649492837,0.8853211009174312,0.5251347591723179,0.23039152345264247
__overall__,0.5693853884808658,0.5275116039498952,0.820476858345021,0.5251347591723179,0.23039152345264247
